Jurisdiction,Week,All,Natural,Septicemia,Malignant,Diabetes,Alzheimer,Influenza,Chronic Illnesses,Other Diseases,Nephritis,"Symptoms, Signs, and Abnormal Clinical and Laboratory Findings",Heart Diseases,Cerebrovascular,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death)
United States,1/4/2020,60176,55009,843,11569,1829,2537,1559,3501,1068,1094,630,14202,3110,0,0
Alabama,1/4/2020,1082,1009,15,196,25,54,28,86,13,25,25,268,81,0,0
Alaska,1/4/2020,89,71,NA,16,NA,NA,0,NA,0,NA,0,17,NA,0,0
Arizona,1/4/2020,1301,1182,NA,248,47,66,30,90,17,11,17,314,55,0,0
Arkansas,1/4/2020,672,630,17,114,25,38,18,62,NA,NA,NA,174,34,0,0
California,1/4/2020,5888,5437,34,1200,239,386,187,275,80,97,16,1394,378,0,0
Colorado,1/4/2020,854,758,NA,157,19,33,NA,53,20,13,NA,177,47,0,0
Connecticut,1/4/2020,633,574,11,123,12,15,NA,18,11,13,NA,160,29,0,0
Delaware,1/4/2020,199,179,NA,36,NA,12,NA,11,NA,NA,NA,50,15,0,0
District of Columbia,1/4/2020,132,109,NA,20,0,0,NA,NA,NA,0,0,33,NA,0,0
Florida,1/4/2020,4341,3928,60,873,136,127,87,265,59,75,54,1013,277,0,0
Georgia,1/4/2020,1803,1657,41,337,61,83,61,100,44,41,23,401,93,0,0
Hawaii,1/4/2020,242,222,NA,33,NA,NA,12,10,NA,NA,NA,67,18,0,0
Idaho,1/4/2020,278,255,NA,68,NA,14,NA,19,NA,NA,NA,44,13,0,0
Illinois,1/4/2020,2191,2007,29,427,57,74,46,106,43,57,24,520,119,0,0
Indiana,1/4/2020,1470,1357,27,258,47,51,42,115,30,40,10,335,60,0,0
Iowa,1/4/2020,665,618,NA,115,19,28,12,62,18,NA,12,168,24,0,0
Kansas,1/4/2020,591,542,NA,89,14,18,23,56,12,13,NA,136,25,0,0
Kentucky,1/4/2020,1093,1001,18,209,50,38,30,91,14,27,NA,222,49,0,0
Louisiana,1/4/2020,927,837,21,183,29,39,17,44,25,15,12,241,57,0,0
Maine,1/4/2020,320,289,0,65,NA,14,NA,16,NA,NA,NA,65,17,0,0
Maryland,1/4/2020,1049,937,14,213,41,21,33,38,13,12,NA,249,58,0,0
Massachusetts,1/4/2020,1242,1131,23,261,33,30,34,57,18,32,17,224,52,0,0
Michigan,1/4/2020,2015,1863,34,401,63,80,42,133,21,39,10,513,114,0,0
Minnesota,1/4/2020,1009,929,17,219,42,56,17,45,18,10,25,197,47,0,0
Mississippi,1/4/2020,673,600,NA,115,NA,42,19,52,10,13,NA,169,34,0,0
Missouri,1/4/2020,1327,1203,18,262,31,63,23,89,41,29,NA,322,63,0,0
Montana,1/4/2020,231,205,NA,43,NA,NA,NA,22,NA,NA,NA,47,NA,0,0
Nebraska,1/4/2020,346,322,NA,66,11,11,NA,20,NA,NA,NA,85,15,0,0
Nevada,1/4/2020,521,465,NA,98,13,18,16,32,NA,NA,NA,156,19,0,0
New Hampshire,1/4/2020,261,240,NA,52,NA,12,NA,16,NA,NA,NA,58,10,0,0
New Jersey,1/4/2020,1628,1480,41,321,30,42,25,65,53,35,26,419,68,0,0
New Mexico,1/4/2020,408,358,NA,63,15,14,17,18,NA,NA,NA,98,25,0,0
New York,1/4/2020,2164,2019,22,414,60,75,86,128,51,29,33,543,79,0,0
New York City,1/4/2020,1155,1067,NA,240,39,28,57,40,16,14,NA,396,26,0,0
North Carolina,1/4/2020,2003,1835,37,378,64,90,44,137,36,56,22,415,102,0,0
North Dakota,1/4/2020,149,139,NA,31,NA,NA,NA,NA,NA,NA,NA,32,NA,0,0
Ohio,1/4/2020,2541,2328,38,468,61,103,55,146,48,40,39,663,131,0,0
Oklahoma,1/4/2020,901,821,11,165,22,37,22,73,14,12,NA,256,40,0,0
Oregon,1/4/2020,737,683,NA,159,29,38,15,37,16,11,NA,139,50,0,0
Pennsylvania,1/4/2020,2785,2572,50,562,65,74,82,135,56,55,64,667,150,0,0
Rhode Island,1/4/2020,225,205,NA,34,NA,17,NA,11,0,NA,NA,60,NA,0,0
South Carolina,1/4/2020,1085,994,14,192,36,53,30,85,19,29,NA,222,51,0,0
South Dakota,1/4/2020,170,145,NA,38,NA,NA,NA,NA,NA,NA,0,39,10,0,0
Tennessee,1/4/2020,1614,1451,29,258,50,70,61,112,26,21,16,385,80,0,0
Texas,1/4/2020,4325,3949,73,798,135,227,117,226,91,85,41,1001,221,0,0
Utah,1/4/2020,392,350,NA,71,18,16,NA,18,NA,NA,NA,76,17,0,0
Vermont,1/4/2020,92,87,NA,22,NA,NA,0,NA,0,0,0,25,NA,0,0
Virginia,1/4/2020,1438,1314,24,292,46,50,30,80,22,36,17,299,81,0,0
Washington,1/4/2020,1183,1069,13,223,34,68,30,63,24,NA,NA,245,62,0,0
West Virginia,1/4/2020,474,439,NA,83,16,15,11,52,NA,11,NA,102,22,0,0
Wisconsin,1/4/2020,1118,1017,13,229,29,54,21,52,15,21,NA,271,56,0,0
Wyoming,1/4/2020,144,130,NA,31,NA,NA,NA,10,NA,NA,NA,30,NA,0,0
Puerto Rico,1/4/2020,555,514,NA,91,58,36,12,19,13,NA,NA,111,30,0,0
United States,1/11/2020,60735,55754,861,11962,1942,2566,1528,3708,1035,1092,649,13911,3189,1,1
Alabama,1/11/2020,1127,1060,25,197,17,41,27,72,20,23,34,274,68,0,0
Alaska,1/11/2020,105,93,NA,22,NA,NA,0,NA,NA,NA,0,24,NA,0,0
Arizona,1/11/2020,1391,1249,NA,277,57,67,26,85,20,19,21,299,64,0,0
Arkansas,1/11/2020,686,629,10,144,26,37,21,63,NA,13,NA,165,33,0,0
California,1/11/2020,5873,5417,37,1168,241,380,168,284,86,103,31,1384,359,0,0
Colorado,1/11/2020,872,773,NA,176,25,41,16,48,NA,11,NA,168,47,0,0
Connecticut,1/11/2020,631,576,15,133,14,19,19,35,NA,NA,NA,135,28,0,0
Delaware,1/11/2020,194,171,0,33,NA,NA,NA,13,0,NA,0,45,13,0,0
District of Columbia,1/11/2020,128,102,NA,21,NA,NA,NA,NA,0,0,NA,26,16,0,0
Florida,1/11/2020,4410,3997,54,894,132,124,87,287,63,55,59,1023,317,0,0
Georgia,1/11/2020,1807,1664,39,343,44,109,44,118,51,41,19,400,74,0,0
Hawaii,1/11/2020,242,221,NA,40,NA,NA,NA,NA,NA,NA,NA,54,15,0,0
Idaho,1/11/2020,292,270,NA,71,11,11,NA,25,NA,NA,NA,58,15,0,0
Illinois,1/11/2020,2252,2080,47,477,65,93,57,131,27,43,21,511,131,0,0
Indiana,1/11/2020,1386,1258,21,243,40,54,37,110,27,29,NA,317,57,0,0
Iowa,1/11/2020,647,611,NA,147,24,38,17,33,13,NA,11,151,26,0,0
Kansas,1/11/2020,560,516,NA,109,20,NA,21,42,10,10,NA,123,23,NA,NA
Kentucky,1/11/2020,1058,970,21,201,36,30,24,74,27,16,NA,250,51,0,0
Louisiana,1/11/2020,967,885,21,162,33,52,29,63,18,17,13,258,60,0,0
Maine,1/11/2020,318,287,0,68,NA,NA,NA,26,NA,NA,NA,66,13,0,0
Maryland,1/11/2020,1035,933,13,205,34,19,22,46,NA,NA,NA,265,73,0,0
Massachusetts,1/11/2020,1266,1168,23,277,21,30,36,62,19,35,17,253,45,0,0
Michigan,1/11/2020,2065,1924,23,414,62,85,38,161,37,40,NA,505,114,0,0
Minnesota,1/11/2020,950,880,10,202,26,51,15,51,15,13,19,199,44,0,0
Mississippi,1/11/2020,648,613,NA,130,21,30,23,54,NA,23,NA,164,28,0,0
Missouri,1/11/2020,1333,1221,20,242,43,57,32,80,32,29,14,335,65,0,0
Montana,1/11/2020,211,187,NA,45,NA,NA,NA,NA,NA,NA,0,53,NA,0,0
Nebraska,1/11/2020,362,341,NA,63,17,24,16,26,NA,NA,NA,68,19,0,0
Nevada,1/11/2020,556,504,NA,104,19,21,12,41,NA,NA,NA,141,30,0,0
New Hampshire,1/11/2020,263,238,NA,47,NA,13,NA,16,NA,NA,NA,71,11,0,0
New Jersey,1/11/2020,1588,1484,38,317,44,51,37,70,40,32,21,394,66,0,0
New Mexico,1/11/2020,410,365,NA,66,16,10,14,45,NA,NA,NA,86,13,0,0
New York,1/11/2020,2092,1970,23,411,60,60,63,135,48,43,34,530,82,0,0
New York City,1/11/2020,1137,1084,15,221,49,18,49,40,10,16,23,375,47,0,0
North Carolina,1/11/2020,1984,1803,30,401,57,98,58,119,39,39,13,374,106,0,0
North Dakota,1/11/2020,151,137,NA,26,NA,NA,NA,NA,0,NA,NA,33,12,0,0
Ohio,1/11/2020,2616,2415,43,508,88,100,59,176,50,46,42,593,137,0,0
Oklahoma,1/11/2020,823,754,10,148,20,40,20,71,NA,14,NA,246,42,0,0
Oregon,1/11/2020,764,686,NA,182,34,46,12,48,11,NA,NA,120,41,0,0
Pennsylvania,1/11/2020,2849,2630,50,578,78,76,62,153,59,59,61,712,145,0,0
Rhode Island,1/11/2020,201,183,NA,40,NA,NA,NA,NA,0,NA,NA,47,NA,0,0
South Carolina,1/11/2020,1081,987,24,210,41,55,21,70,33,27,10,212,47,0,0
South Dakota,1/11/2020,170,157,0,38,NA,NA,NA,13,NA,NA,0,33,11,0,0
Tennessee,1/11/2020,1687,1545,22,306,47,78,71,119,31,27,20,341,105,0,0
Texas,1/11/2020,4564,4202,84,862,160,216,121,258,75,92,35,1003,264,0,0
Utah,1/11/2020,438,381,NA,76,15,16,NA,33,NA,12,NA,85,13,0,0
Vermont,1/11/2020,102,95,NA,24,NA,NA,NA,11,NA,0,NA,24,NA,0,0
Virginia,1/11/2020,1562,1425,22,344,59,54,32,96,35,45,12,293,72,0,0
Washington,1/11/2020,1246,1143,17,267,46,83,31,67,18,13,11,260,48,0,0
West Virginia,1/11/2020,494,441,12,75,22,20,NA,39,NA,12,NA,111,20,0,0
Wisconsin,1/11/2020,1060,960,NA,194,28,54,26,59,11,19,NA,236,49,0,0
Wyoming,1/11/2020,81,69,NA,13,0,NA,NA,NA,NA,0,0,18,NA,0,0
Puerto Rico,1/11/2020,594,551,16,102,56,52,14,24,NA,14,NA,109,25,0,0
United States,1/18/2020,59372,54522,829,11702,1819,2491,1484,3527,992,1121,612,13595,3256,2,1
Alabama,1/18/2020,1039,976,28,201,24,53,31,73,21,23,24,239,45,0,0
Alaska,1/18/2020,99,83,NA,21,NA,NA,0,NA,NA,NA,0,15,NA,0,0
Arizona,1/18/2020,1315,1175,NA,265,45,65,31,75,30,20,14,275,66,0,0
Arkansas,1/18/2020,658,610,11,123,24,33,20,44,NA,15,NA,167,23,0,0
California,1/18/2020,5830,5387,40,1126,207,345,216,313,80,94,23,1397,401,NA,0
Colorado,1/18/2020,848,752,10,185,21,30,16,61,13,12,NA,164,49,0,0
Connecticut,1/18/2020,639,592,NA,143,10,23,13,28,17,11,13,151,22,0,0
Delaware,1/18/2020,190,170,NA,25,NA,13,NA,13,0,NA,0,46,NA,0,0
District of Columbia,1/18/2020,140,120,NA,28,NA,NA,NA,NA,0,NA,NA,33,11,0,0
Florida,1/18/2020,4385,3992,54,867,121,129,76,287,66,72,73,1000,343,0,0
Georgia,1/18/2020,1746,1608,38,318,54,95,39,106,40,46,24,389,93,0,0
Hawaii,1/18/2020,215,200,NA,39,10,12,NA,NA,NA,NA,NA,44,19,0,0
Idaho,1/18/2020,293,268,NA,59,12,12,NA,24,NA,NA,NA,65,13,0,0
Illinois,1/18/2020,2231,2065,30,476,59,94,62,116,39,70,21,489,140,0,0
Indiana,1/18/2020,1389,1277,28,285,49,51,22,95,20,36,NA,316,64,0,0
Iowa,1/18/2020,620,585,NA,116,27,23,17,52,17,NA,10,161,20,0,0
Kansas,1/18/2020,576,528,12,111,17,23,17,37,NA,11,10,116,25,0,0
Kentucky,1/18/2020,1041,956,28,195,35,34,38,69,15,17,13,218,41,0,0
Louisiana,1/18/2020,960,854,14,179,30,48,21,43,23,30,23,225,56,0,0
Maine,1/18/2020,295,271,NA,57,12,NA,NA,20,NA,NA,NA,64,13,0,0
Maryland,1/18/2020,988,895,14,191,26,27,22,42,15,17,NA,229,69,0,0
Massachusetts,1/18/2020,1190,1109,28,222,37,38,34,55,20,30,11,254,48,0,0
Michigan,1/18/2020,1936,1797,24,381,49,92,42,123,22,40,12,493,127,0,0
Minnesota,1/18/2020,946,874,NA,198,27,51,10,62,12,NA,27,174,37,0,0
Mississippi,1/18/2020,624,562,NA,109,19,35,17,38,NA,17,10,157,35,0,0
Missouri,1/18/2020,1334,1223,16,246,31,60,23,90,35,28,10,323,70,0,0
Montana,1/18/2020,202,184,NA,35,NA,NA,NA,11,NA,NA,NA,52,10,0,0
Nebraska,1/18/2020,333,309,NA,57,10,NA,11,24,NA,NA,NA,64,16,0,0
Nevada,1/18/2020,605,555,NA,112,22,12,14,53,NA,12,NA,167,39,0,0
New Hampshire,1/18/2020,245,230,NA,65,NA,10,NA,16,NA,NA,NA,59,12,0,0
New Jersey,1/18/2020,1490,1395,43,310,35,38,36,72,49,35,19,365,76,0,0
New Mexico,1/18/2020,388,337,NA,61,14,12,11,27,NA,NA,0,89,NA,0,0
New York,1/18/2020,2169,2034,26,423,49,63,67,124,44,45,24,583,92,0,0
New York City,1/18/2020,1129,1057,10,236,28,15,57,35,12,17,12,351,45,0,0
North Carolina,1/18/2020,1902,1759,30,404,59,86,51,135,31,26,13,361,103,0,0
North Dakota,1/18/2020,171,158,NA,32,NA,12,NA,NA,NA,NA,NA,35,11,0,0
Ohio,1/18/2020,2477,2273,49,490,72,90,54,159,44,46,32,580,144,0,0
Oklahoma,1/18/2020,850,791,NA,156,40,35,14,67,NA,13,NA,235,44,NA,NA
Oregon,1/18/2020,769,702,NA,167,33,37,17,37,NA,NA,NA,139,28,0,0
Pennsylvania,1/18/2020,2862,2632,61,581,76,83,71,141,57,41,54,655,164,0,0
Rhode Island,1/18/2020,204,190,NA,35,10,NA,NA,16,NA,NA,0,43,10,0,0
South Carolina,1/18/2020,1048,951,14,220,40,39,19,71,18,27,NA,205,49,0,0
South Dakota,1/18/2020,168,155,0,30,NA,12,NA,NA,0,0,0,44,NA,0,0
Tennessee,1/18/2020,1597,1448,16,279,46,71,47,99,23,31,17,365,84,0,0
Texas,1/18/2020,4250,3908,59,839,158,212,101,240,78,89,26,966,205,0,0
Utah,1/18/2020,409,358,NA,68,11,24,NA,16,NA,NA,NA,82,24,0,0
Vermont,1/18/2020,134,123,NA,31,NA,NA,NA,NA,NA,NA,0,38,NA,0,0
Virginia,1/18/2020,1466,1343,24,304,41,66,26,75,25,37,20,311,72,0,0
Washington,1/18/2020,1221,1107,12,259,44,81,24,62,19,NA,NA,225,73,0,0
West Virginia,1/18/2020,520,477,NA,99,22,18,14,40,11,18,NA,114,20,0,0
Wisconsin,1/18/2020,1133,1023,15,224,26,50,13,89,10,21,NA,243,67,0,0
Wyoming,1/18/2020,103,94,NA,19,NA,NA,NA,14,0,NA,0,20,NA,0,0
Puerto Rico,1/18/2020,663,598,16,107,76,43,23,16,NA,25,NA,120,22,0,0
United States,1/25/2020,59162,54401,828,11879,1864,2517,1488,3403,979,1107,638,13612,3185,3,2
Alabama,1/25/2020,1056,982,16,190,23,54,29,61,11,14,23,284,70,NA,0
Alaska,1/25/2020,97,82,NA,21,NA,NA,0,NA,0,NA,NA,19,NA,0,0
Arizona,1/25/2020,1275,1156,10,241,54,58,36,77,25,20,19,282,58,0,0
Arkansas,1/25/2020,616,576,NA,131,19,28,17,55,14,NA,NA,161,23,0,0
California,1/25/2020,5832,5377,38,1192,231,381,189,279,81,90,22,1361,376,0,0
Colorado,1/25/2020,853,751,NA,180,21,39,27,60,21,17,NA,147,40,0,0
Connecticut,1/25/2020,653,598,14,137,16,27,14,27,13,NA,NA,155,26,0,0
Delaware,1/25/2020,190,174,NA,37,NA,NA,NA,NA,NA,NA,0,48,18,0,0
District of Columbia,1/25/2020,131,115,NA,32,NA,NA,NA,NA,NA,NA,0,26,NA,0,0
Florida,1/25/2020,4387,4012,53,929,124,144,91,283,55,66,65,1003,301,0,0
Georgia,1/25/2020,1829,1695,35,368,51,99,55,115,40,52,20,397,77,0,0
Hawaii,1/25/2020,242,224,NA,42,10,12,NA,10,NA,NA,NA,58,16,0,0
Idaho,1/25/2020,275,247,NA,51,12,11,NA,21,NA,NA,NA,57,19,0,0
Illinois,1/25/2020,2199,2033,33,447,72,87,55,110,21,51,17,519,137,0,0
Indiana,1/25/2020,1422,1304,27,270,55,55,27,110,17,34,NA,315,64,0,0
Iowa,1/25/2020,640,597,11,108,16,31,12,49,NA,NA,NA,174,30,0,0
Kansas,1/25/2020,571,514,NA,101,18,19,19,33,NA,NA,NA,126,24,0,0
Kentucky,1/25/2020,944,877,17,185,22,33,25,86,18,23,15,187,54,0,0
Louisiana,1/25/2020,970,882,29,172,32,46,23,62,17,19,14,240,38,0,0
Maine,1/25/2020,308,282,0,60,11,15,NA,22,NA,NA,0,58,NA,0,0
Maryland,1/25/2020,1003,923,18,212,29,27,24,41,10,15,NA,237,52,0,0
Massachusetts,1/25/2020,1302,1197,24,241,36,30,50,63,28,30,NA,264,52,0,0
Michigan,1/25/2020,2012,1881,22,451,78,83,36,120,28,35,11,497,131,0,0
Minnesota,1/25/2020,955,894,10,185,30,59,19,64,14,15,31,159,45,0,0
Mississippi,1/25/2020,612,574,NA,115,22,32,16,44,15,22,NA,146,31,0,0
Missouri,1/25/2020,1352,1253,31,260,20,60,32,94,35,22,10,331,69,0,0
Montana,1/25/2020,197,180,NA,34,NA,NA,NA,21,NA,NA,NA,40,NA,0,0
Nebraska,1/25/2020,358,342,NA,77,10,17,NA,24,NA,NA,NA,91,16,0,0
Nevada,1/25/2020,577,526,NA,108,15,17,13,25,NA,NA,NA,154,36,0,0
New Hampshire,1/25/2020,241,224,NA,54,NA,14,NA,16,NA,NA,NA,55,12,0,0
New Jersey,1/25/2020,1579,1455,39,310,47,52,34,64,39,36,20,392,86,0,0
New Mexico,1/25/2020,404,367,NA,76,10,11,17,24,NA,NA,NA,88,18,0,0
New York,1/25/2020,2023,1884,31,416,61,38,60,97,55,51,36,497,79,NA,NA
New York City,1/25/2020,1182,1104,14,258,46,25,58,28,14,16,21,379,38,0,0
North Carolina,1/25/2020,1994,1809,28,420,60,80,48,120,38,51,18,397,119,0,0
North Dakota,1/25/2020,147,131,NA,24,NA,10,NA,10,NA,0,NA,22,10,0,0
Ohio,1/25/2020,2564,2384,53,495,70,125,39,174,48,54,38,583,130,0,0
Oklahoma,1/25/2020,803,738,NA,169,35,41,13,68,NA,12,NA,209,38,0,0
Oregon,1/25/2020,745,691,NA,146,25,37,18,51,14,NA,11,138,45,0,0
Pennsylvania,1/25/2020,2795,2562,40,583,83,71,70,128,62,66,49,657,146,0,0
Rhode Island,1/25/2020,199,175,NA,28,10,NA,NA,NA,NA,NA,0,47,14,0,0
South Carolina,1/25/2020,1033,931,18,193,38,51,19,66,25,23,NA,213,59,0,0
South Dakota,1/25/2020,151,142,NA,32,NA,15,NA,NA,NA,NA,0,29,11,0,0
Tennessee,1/25/2020,1532,1403,13,307,50,62,52,107,19,24,21,339,80,0,0
Texas,1/25/2020,4128,3798,66,824,129,195,90,198,59,79,44,992,217,0,0
Utah,1/25/2020,390,341,NA,58,11,16,21,19,NA,10,NA,68,27,0,0
Vermont,1/25/2020,119,109,NA,30,NA,NA,NA,13,NA,NA,0,32,NA,0,0
Virginia,1/25/2020,1459,1340,21,298,44,51,34,65,32,40,16,311,78,0,0
Washington,1/25/2020,1192,1086,14,252,33,65,20,64,15,NA,NA,272,59,0,0
West Virginia,1/25/2020,442,392,NA,84,18,15,12,30,NA,14,NA,112,21,0,0
Wisconsin,1/25/2020,1086,997,14,225,30,42,22,67,18,19,NA,217,61,NA,NA
Wyoming,1/25/2020,96,90,0,20,NA,NA,NA,NA,NA,0,NA,27,NA,0,0
Puerto Rico,1/25/2020,630,583,13,107,65,43,19,15,NA,13,12,114,34,0,0
United States,2/1/2020,58834,54001,811,11963,1828,2480,1411,3313,981,1074,616,13465,3084,0,0
Alabama,2/1/2020,1026,949,15,157,16,58,31,76,17,20,23,265,55,0,0
Alaska,2/1/2020,85,74,NA,17,NA,NA,NA,NA,NA,0,NA,20,NA,0,0
Arizona,2/1/2020,1265,1131,NA,265,49,55,34,75,19,17,16,287,64,0,0
Arkansas,2/1/2020,681,615,11,124,19,43,20,54,11,20,NA,151,24,0,0
California,2/1/2020,5686,5281,34,1235,203,336,173,285,81,93,22,1353,345,0,0
Colorado,2/1/2020,793,707,NA,162,17,44,11,47,NA,11,NA,146,52,0,0
Connecticut,2/1/2020,686,612,11,135,15,13,22,33,13,17,NA,164,28,0,0
Delaware,2/1/2020,183,167,NA,36,NA,NA,NA,11,NA,NA,0,35,10,0,0
District of Columbia,2/1/2020,143,117,NA,25,NA,NA,NA,NA,NA,0,NA,41,NA,0,0
Florida,2/1/2020,4419,4033,55,889,153,141,76,268,66,69,73,993,312,0,0
Georgia,2/1/2020,1797,1671,29,357,56,75,34,108,39,47,24,411,100,0,0
Hawaii,2/1/2020,242,226,NA,41,NA,NA,NA,NA,NA,NA,NA,71,23,0,0
Idaho,2/1/2020,249,223,0,44,NA,NA,NA,19,NA,NA,NA,56,15,0,0
Illinois,2/1/2020,2137,1984,33,450,61,76,72,120,26,60,26,482,131,0,0
Indiana,2/1/2020,1380,1282,25,296,51,48,21,83,29,39,NA,294,74,0,0
Iowa,2/1/2020,615,572,NA,118,17,28,16,50,NA,NA,NA,142,27,0,0
Kansas,2/1/2020,549,500,NA,99,11,26,17,35,13,14,10,120,16,0,0
Kentucky,2/1/2020,978,885,NA,206,31,30,20,73,12,13,14,189,40,0,0
Louisiana,2/1/2020,977,892,32,193,36,33,16,50,21,26,19,234,55,0,0
Maine,2/1/2020,288,256,0,62,NA,NA,NA,16,NA,NA,NA,66,NA,0,0
Maryland,2/1/2020,1034,934,15,200,31,20,23,38,15,16,NA,244,73,0,0
Massachusetts,2/1/2020,1204,1110,17,250,29,41,47,64,16,31,15,226,38,0,0
Michigan,2/1/2020,2004,1863,30,403,69,94,46,142,25,48,NA,514,82,0,0
Minnesota,2/1/2020,942,872,NA,214,19,60,13,40,14,14,14,174,43,0,0
Mississippi,2/1/2020,608,553,NA,125,20,29,17,52,13,11,NA,149,30,0,0
Missouri,2/1/2020,1364,1234,20,279,38,59,43,84,33,39,NA,296,68,0,0
Montana,2/1/2020,218,197,0,44,NA,NA,NA,11,NA,NA,NA,46,11,0,0
Nebraska,2/1/2020,373,356,NA,85,NA,18,14,28,NA,NA,NA,69,18,0,0
Nevada,2/1/2020,532,483,NA,95,NA,15,16,35,NA,NA,NA,150,34,0,0
New Hampshire,2/1/2020,240,227,NA,51,NA,NA,NA,15,NA,NA,NA,54,17,0,0
New Jersey,2/1/2020,1517,1419,46,302,43,54,29,59,40,30,27,349,64,0,0
New Mexico,2/1/2020,370,322,NA,61,11,NA,12,21,12,NA,NA,74,21,0,0
New York,2/1/2020,2031,1913,27,399,57,45,52,114,50,38,41,508,89,0,0
New York City,2/1/2020,1171,1085,NA,287,32,27,55,34,19,10,NA,353,35,0,0
North Carolina,2/1/2020,1983,1815,41,381,55,106,50,122,34,25,NA,393,120,0,0
North Dakota,2/1/2020,130,118,NA,27,NA,12,NA,NA,NA,NA,NA,26,NA,0,0
Ohio,2/1/2020,2493,2284,41,517,78,97,46,144,40,41,38,602,139,0,0
Oklahoma,2/1/2020,833,776,15,164,33,45,20,56,NA,NA,NA,204,45,0,0
Oregon,2/1/2020,728,662,NA,155,18,45,11,30,NA,NA,16,139,46,0,0
Pennsylvania,2/1/2020,2810,2575,51,595,79,78,70,134,54,61,40,622,145,0,0
Rhode Island,2/1/2020,220,205,NA,44,11,12,NA,NA,NA,NA,0,53,NA,0,0
South Carolina,2/1/2020,1032,944,20,206,40,40,23,61,14,11,NA,237,47,0,0
South Dakota,2/1/2020,162,152,NA,39,NA,11,NA,NA,NA,NA,NA,41,NA,0,0
Tennessee,2/1/2020,1591,1436,17,288,50,72,53,117,24,23,17,373,75,0,0
Texas,2/1/2020,4174,3823,67,863,137,196,83,218,63,85,29,959,210,0,0
Utah,2/1/2020,364,331,NA,63,13,24,NA,20,NA,11,NA,78,13,0,0
Vermont,2/1/2020,96,90,NA,17,NA,NA,NA,NA,NA,0,0,28,NA,0,0
Virginia,2/1/2020,1479,1350,20,297,59,70,28,61,24,34,15,315,85,0,0
Washington,2/1/2020,1200,1104,15,268,41,62,20,60,22,NA,12,262,60,0,0
West Virginia,2/1/2020,482,441,NA,90,22,12,NA,49,NA,12,NA,107,20,0,0
Wisconsin,2/1/2020,1176,1065,16,229,28,60,21,61,15,19,NA,285,43,0,0
Wyoming,2/1/2020,94,85,NA,14,NA,NA,NA,NA,NA,NA,NA,15,NA,0,0
Puerto Rico,2/1/2020,586,535,13,95,73,40,22,22,12,18,NA,103,18,0,0
United States,2/8/2020,59482,54411,806,11704,1957,2515,1463,3413,975,1135,600,14001,3056,4,3
Alabama,2/8/2020,1120,1028,26,191,24,45,28,70,20,24,27,304,52,0,0
Alaska,2/8/2020,92,75,0,15,NA,NA,NA,NA,NA,NA,NA,22,NA,0,0
Arizona,2/8/2020,1264,1137,NA,238,52,66,30,78,17,12,24,279,63,0,0
Arkansas,2/8/2020,673,637,NA,136,16,47,21,60,NA,15,NA,170,27,0,0
California,2/8/2020,5913,5460,43,1174,227,402,190,325,73,111,14,1388,342,NA,0
Colorado,2/8/2020,847,755,NA,177,26,43,17,59,15,10,NA,155,35,0,0
Connecticut,2/8/2020,652,598,20,130,13,18,21,28,16,NA,NA,148,20,0,0
Delaware,2/8/2020,191,169,NA,45,NA,NA,NA,10,NA,NA,0,33,10,0,0
District of Columbia,2/8/2020,131,112,NA,20,NA,NA,NA,NA,NA,NA,NA,32,NA,0,0
Florida,2/8/2020,4385,4012,47,878,160,142,79,255,65,76,63,1062,289,0,0
Georgia,2/8/2020,1781,1627,28,350,56,81,45,96,31,39,23,418,104,0,0
Hawaii,2/8/2020,236,217,NA,45,NA,NA,NA,NA,NA,NA,0,57,13,0,0
Idaho,2/8/2020,292,264,NA,50,12,12,NA,18,NA,NA,NA,63,16,0,0
Illinois,2/8/2020,2232,2053,25,449,63,74,52,117,32,58,30,543,116,0,0
Indiana,2/8/2020,1363,1257,27,267,48,61,29,100,21,22,NA,296,80,0,0
Iowa,2/8/2020,637,593,NA,120,17,31,15,40,12,10,NA,163,34,0,0
Kansas,2/8/2020,503,469,NA,89,17,20,12,31,NA,15,10,117,26,0,0
Kentucky,2/8/2020,956,864,18,170,30,33,27,77,19,17,12,197,41,0,0
Louisiana,2/8/2020,956,867,21,177,38,41,17,47,25,27,11,248,43,0,0
Maine,2/8/2020,316,285,0,57,14,11,11,23,11,NA,0,53,10,0,0
Maryland,2/8/2020,1004,907,18,218,28,20,20,51,NA,15,NA,243,60,0,0
Massachusetts,2/8/2020,1233,1125,26,254,25,32,44,48,19,31,12,251,39,0,0
Michigan,2/8/2020,1940,1785,23,368,57,78,54,119,31,40,14,504,118,0,0
Minnesota,2/8/2020,919,847,NA,203,32,48,21,47,NA,NA,24,187,46,0,0
Mississippi,2/8/2020,703,633,NA,115,35,38,22,41,NA,18,NA,196,40,NA,NA
Missouri,2/8/2020,1334,1209,23,258,33,45,29,85,29,52,NA,324,58,0,0
Montana,2/8/2020,202,182,NA,47,NA,NA,NA,12,NA,NA,NA,46,NA,0,0
Nebraska,2/8/2020,345,320,NA,70,14,13,NA,19,NA,NA,NA,68,17,0,0
Nevada,2/8/2020,579,520,NA,108,25,13,17,49,NA,NA,NA,158,36,0,0
New Hampshire,2/8/2020,256,230,NA,56,10,NA,NA,22,NA,NA,NA,54,NA,0,0
